1,16,1
1,27,1
1,46,1
1,49,1
1,52,2
1,123,1
1,242,1
1,254,1
1,264,1
1,278,6
1,294,1
1,314,2
1,317,3
1,325,2
1,350,1
1,352,18
1,384,1
1,411,1
1,448,2
1,451,1
1,453,47
1,455,1
1,525,2
1,526,1
1,530,1
1,551,1
1,552,1
1,559,1
1,600,1
1,612,5
1,617,1
1,623,1
1,644,6
1,652,1
1,654,2
1,664,1
1,686,1
1,722,2
1,742,1
1,752,2
1,758,1
1,770,2
1,771,1
1,950,1
1,967,1
1,993,12
1,1028,1
1,1075,1
1,1176,4
1,1225,7
1,1235,8
1,1247,1
1,1255,1
1,1258,2
1,1260,15
1,1283,1
1,1285,1
1,1287,20
1,1316,1
1,1375,1
1,1391,2
1,1431,14
1,1438,1
1,1448,13
1,1475,4
1,1496,2
1,1509,1
1,1530,3
1,1534,1
1,1593,1
1,1606,1
1,1643,6
1,1646,1
1,1669,244
1,1696,1
1,1716,2
1,1719,4
1,1726,1
1,1732,14
1,1751,1
1,1765,1
1,1766,2
1,1817,2
1,1824,1
1,1833,1
1,1835,1
1,1836,1
1,1849,8
1,1874,16
1,1892,1
1,1943,1
1,1969,40
1,1982,1
1,1985,1
1,2022,2
1,2029,1
2,895,1
5,1159,22
10,1874,1
12,465,2
12,511,2
12,999,4
12,1179,1
12,1440,5
12,1587,1
12,1670,2
12,1792,5
12,1874,10
13,1792,2
13,1874,3
17,993,6
20,963,1
24,31,4
24,429,5
24,511,2
24,526,1
24,735,2
24,829,1
24,999,1
24,1278,4
24,1549,1
24,1663,1
24,1874,3
25,34,1
25,265,1
25,585,2
25,841,1
25,999,1
25,1144,9
25,1151,1
25,1258,9
25,1580,5
25,1899,13
25,1998,5
26,1669,1
29,246,1
29,1669,2
32,1706,6
33,278,2
34,25,1
34,217,1
34,403,1
34,605,2
34,627,2
34,737,1
34,852,7
34,903,3
34,939,1
34,1144,97
34,1194,2
34,1198,12
34,1258,2
34,1380,1
34,1453,1
34,1580,7
34,1782,1
34,1854,1
34,1874,1
34,1899,5
34,1974,1
34,1992,2
34,1995,1
34,1998,3
38,12,1
38,794,1
38,993,2
38,1440,2
38,1669,4
43,566,1
45,25,1
45,34,2
45,585,1
45,939,1
45,1144,26
45,1198,2
45,1291,3
45,1580,1
45,1782,1
50,1274,1
50,1667,1
53,1669,1
55,1258,3
55,1874,9
58,993,2
59,1952,1
63,1060,1
65,1669,1
67,1874,1
68,1669,1
69,278,4
71,1874,1
76,466,1
76,1018,1
76,1669,2
78,1701,1
79,1706,3
81,1669,1
82,1701,1
84,15,1
84,203,2
84,350,5
84,829,4
84,1258,3
84,1563,8
84,1706,1
84,1768,4
84,1833,1
84,1874,11
84,1997,1
86,1669,1
87,1159,22
90,90,5
90,511,7
90,585,1
90,1369,7
90,1874,1
92,403,1
92,723,1
92,1144,17
92,1198,3
92,1291,2
92,1380,3
92,1440,2
92,1580,1
92,1894,1
92,1992,3
92,1998,1
93,853,1
93,1839,1
93,1874,3
97,453,3
97,1277,1
98,278,3
98,470,1
98,702,1
98,727,1
98,1629,1
99,1706,6
101,246,1
103,246,1
106,691,2
107,895,1
108,1144,2
110,246,6
116,1669,1
118,1287,2
120,120,2
120,1669,2
122,993,3
122,1857,1
124,895,1
127,1669,1
128,1706,1
129,1159,22
131,1,2
133,1706,2
134,1874,3
135,691,1
137,1159,60
137,1706,12
142,453,1
142,713,2
142,1159,1
142,1277,1
143,1669,1
144,278,2
145,1287,2
146,1743,1
148,511,1
148,795,1
148,1253,1
148,1706,2
148,1874,1
149,829,1
149,861,1
149,1874,1
151,93,1
151,203,1
151,350,1
151,436,2
151,462,2
151,795,3
151,1586,1
151,1751,7
151,1801,2
151,1874,6
155,56,5
155,453,13
155,869,11
155,898,6
155,993,8
155,1277,8
155,1287,16
155,1619,1
155,1669,39
155,1839,1
155,2027,1
156,1874,2
157,1706,1
158,1706,3
158,1768,1
159,575,1
161,1706,2
163,1874,2
164,1706,5
165,511,1
165,852,2
165,869,1
165,999,2
165,1258,1
165,1669,1
165,1674,1
167,547,1
175,453,1
176,691,2
178,453,6
179,453,9
179,1159,2
180,547,1
181,453,1
182,511,1
182,756,1
183,1669,1
185,1159,1
185,1952,1
190,227,1
192,1669,1
193,1701,1
200,902,1
201,1839,1
202,1669,1
203,84,4
203,151,1
203,350,11
